,0
104,"(105, 531, 'udisksd', Decimal('0.000'), Decimal('0.330'), datetime.datetime(2022, 11, 23, 14, 34, 44, 173000))"
105,"(106, 532, 'wpa_supplicant', Decimal('0.000'), Decimal('0.150'), datetime.datetime(2022, 11, 23, 14, 34, 44, 190000))"
106,"(107, 533, 'avahi-daemon', Decimal('0.000'), Decimal('0.010'), datetime.datetime(2022, 11, 23, 14, 34, 44, 203000))"
107,"(108, 557, 'ModemManager', Decimal('0.000'), Decimal('0.300'), datetime.datetime(2022, 11, 23, 14, 34, 44, 213000))"
108,"(109, 579, 'amazon-ssm-agent', Decimal('0.000'), Decimal('0.350'), datetime.datetime(2022, 11, 23, 14, 34, 44, 223000))"
109,"(110, 583, 'containerd', Decimal('0.000'), Decimal('0.880'), datetime.datetime(2022, 11, 23, 14, 34, 44, 233000))"
110,"(111, 596, 'bpfilter_umh', Decimal('0.000'), Decimal('0.020'), datetime.datetime(2022, 11, 23, 14, 34, 44, 247000))"
111,"(112, 609, 'xrdp-sesman', Decimal('0.000'), Decimal('0.140'), datetime.datetime(2022, 11, 23, 14, 34, 44, 257000))"
112,"(113, 652, 'xrdp', Decimal('0.000'), Decimal('0.060'), datetime.datetime(2022, 11, 23, 14, 34, 44, 270000))"
113,"(114, 669, 'unattended-upgr', Decimal('0.000'), Decimal('0.590'), datetime.datetime(2022, 11, 23, 14, 34, 44, 280000))"
114,"(115, 714, 'chronyd', Decimal('0.000'), Decimal('0.090'), datetime.datetime(2022, 11, 23, 14, 34, 44, 293000))"
115,"(116, 722, 'chronyd', Decimal('0.000'), Decimal('0.080'), datetime.datetime(2022, 11, 23, 14, 34, 44, 303000))"
116,"(117, 781, 'dockerd', Decimal('0.000'), Decimal('1.910'), datetime.datetime(2022, 11, 23, 14, 34, 44, 313000))"
117,"(118, 783, 'cron', Decimal('0.000'), Decimal('0.070'), datetime.datetime(2022, 11, 23, 14, 34, 44, 323000))"
118,"(119, 807, 'agetty', Decimal('0.000'), Decimal('0.030'), datetime.datetime(2022, 11, 23, 14, 34, 44, 333000))"
119,"(120, 811, 'sshd', Decimal('0.000'), Decimal('0.220'), datetime.datetime(2022, 11, 23, 14, 34, 44, 343000))"
120,"(121, 815, 'gdm3', Decimal('0.000'), Decimal('0.220'), datetime.datetime(2022, 11, 23, 14, 34, 44, 357000))"
121,"(122, 1002, 'ssm-agent-worker', Decimal('0.000'), Decimal('0.550'), datetime.datetime(2022, 11, 23, 14, 34, 44, 367000))"
122,"(123, 1034, 'gdm-session-worker', Decimal('0.000'), Decimal('0.250'), datetime.datetime(2022, 11, 23, 14, 34, 44, 377000))"
123,"(124, 1039, 'systemd', Decimal('0.000'), Decimal('0.250'), datetime.datetime(2022, 11, 23, 14, 34, 44, 390000))"
124,"(125, 1040, '(sd-pam)', Decimal('0.000'), Decimal('0.110'), datetime.datetime(2022, 11, 23, 14, 34, 44, 400000))"
125,"(126, 1046, 'pipewire', Decimal('0.000'), Decimal('0.160'), datetime.datetime(2022, 11, 23, 14, 34, 44, 410000))"
126,"(127, 1047, 'pipewire-media-session', Decimal('0.000'), Decimal('0.160'), datetime.datetime(2022, 11, 23, 14, 34, 44, 420000))"
127,"(128, 1048, 'pulseaudio', Decimal('0.000'), Decimal('0.450'), datetime.datetime(2022, 11, 23, 14, 34, 44, 430000))"
128,"(129, 1049, 'rtkit-daemon', Decimal('0.000'), Decimal('0.040'), datetime.datetime(2022, 11, 23, 14, 34, 44, 440000))"
129,"(130, 1053, 'dbus-daemon', Decimal('0.000'), Decimal('0.110'), datetime.datetime(2022, 11, 23, 14, 34, 44, 453000))"
